EventId,EventTemplate,,,,,,,,,
E1,############################## _getSysMsgList,,,,,,,,,
E187,"ChromeExistion main strSendMsg = {""websitekey"":false,""commandkey"":true,""browserkey"":true}",,,,,,,,,bl
E188,Cocoa scripting error for '<*>': four character codes must be four characters long.,,,,,,,,,
E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",,,,,,,,,
E190,"Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",,,,,,,,,
E191,"Configuration Notice: ASL Module ""com.apple.authkit.osx.asl"" sharing output destination ""/var/log/Accounts"" with ASL Module ""com.apple.Accounts"". Output parameters from ASL Module ""com.apple.Accounts"" override any specified in ASL Module ""com.apple.authkit.osx.asl"".",,,,,,,,,c
E192,CoreAnimation: timed out fence <*>,,,,,,,,,
E193,"CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS=<*> in environment to log backtraces.",,,,,,,,,
E194,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,,,,,,,,,
E195,Could not get event name for stream/token: com.apple.xpc.activity/<*>: <*>: Request for stale data,,,,,,,,,"dg,dr"
E196,Daemon connection invalidated!,,,,,,,,,c
E197,"DB Error: <*> ""no such table: tb_<*>_<*>""",,,,,,,,,
E198,DB Path: <*>,,,,,,,,,
E199,"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",,,,,,,,,
E200,"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), dev [<*>,<*>]",,,,,,,,,
E201,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,,,,,,,,,
E202,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:<*> Err:<*> Errno:<*> Operation not permitted,,,,,,,,,"dg,dr"
E203,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,,,,,,,,,
E204,doSaveChannels@<*>: Will write to: <*>,,,,,,,,,
E205,efi pagecount <*>,,,,,,,,,
E206,en0: <*>.<*> country code set to '<*>'.,,,,,,,,,
E207,en0: BSSID changed to <*>,,,,,,,,,
E208,en0: channel changed to <*>,,,,,,,,,
E209,en0: manual intervention required!,,,,,,,,,c
E210,en0: Supported channels <*>,,,,,,,,,
E211,enabling pid=<*> for plug-in com.apple.ncplugin.weather(<*>.<*>) <*>-<*>-<*>-<*>-<*> <*>,,,,,,,,,
E212,Error in CoreDragRemoveReceiveHandler: <*>,,,,,,,,,
E213,Error in CoreDragRemoveTrackingHandler: <*>,,,,,,,,,
E214,Error returned from iconservicesagent: (null),,,,,,,,,c
E215,extension com.apple.ncplugin.WorldClock -> (null),,,,,,,,,c
E216,FA||Url||taskID[<*>] dealloc,,,,,,,,,
E217,Failed to connect (titleField) outlet from (MMSessionPickerChoosenRowView) to (NSTextField): missing setter or instance variable,,,,,,,,,c
E218,Failed to connect (view) outlet from (NSApplication) to (NSColorPickerGridView): missing setter or instance variable,,,,,,,,,c
E219,Failed to stop a scan - central is not powered on: <*>,,,,,,,,,
E220,full wake promotion (reason <*>) <*> ms,,,,,,,,,
E221,full wake request (reason <*>) <*> ms,,,,,,,,,
E222,"Google Chrome He[<*>] triggered unnest of range <*>-><*> of DYLD shared region in VM map <*>. While not abnormal for debuggers, this increases system memory footprint until the target exits.",,,,,,,,,
E223,Got an XPC error: Connection invalid,,,,,,,,,c
E224,handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),,,,,,,,,
E225,hciControllerOnline; HID devices? <*>,,,,,,,,,
E226,hibernate image path: <*>,,,,,,,,,
E227,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",,,,,,,,,
E228,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,,,,,,,,,
E229,"hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",,,,,,,,,
E230,hibernate_machine_init reading,,,,,,,,,c
E231,"hibernate_machine_init: state <*>, image pages <*>, sum was <*>, imageSize <*>, image1Size <*>, conflictCount <*>, nextFree <*>",,,,,,,,,
E232,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",,,,,,,,,
E233,hibernate_page_list_setall found pageCount <*>,,,,,,,,,
E234,hibernate_page_list_setall time: <*> ms,,,,,,,,,
E235,hibernate_page_list_setall(preflight <*>) start,,,,,,,,,
E236,hibernate_rebuild completed - took <*> msecs,,,,,,,,,
E237,hibernate_rebuild started,,,,,,,,,c
E238,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,,,,,,,,,
E239,hibernate_setup(<*>) took <*> ms,,,,,,,,,
E240,hibernate_teardown completed - discarded <*>,,,,,,,,,
E241,"hibernate_teardown: wired_pages <*>, free_pages <*>, active_pages <*>, inactive_pages <*>, speculative_pages <*>, cleaned_pages <*>, compressor_pages <*>",,,,,,,,,
E242,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,,,,,,,,,
E243,host connection <NSXPCConnection: <*>> connection from pid <*> invalidated,,,,,,,,,
E244,Host controller terminated,,,,,,,,,c
E245,"hostControllerOnline - Number of Paired devices = <*>, List of Paired devices = ( ""<*>-<*>-<*>-<*>-<*>-<*>"" )",,,,,,,,,
E246,INIT -- Host controller is published,,,,,,,,,c
E247,Internal name did not resolve to internal address!,,,,,,,,,c
E248,Invalidating watch set.,,,,,,,,,c
E249,IOHibernatePollerOpen(<*>),,,,,,,,,
E250,"IOPMrootDomain: idle cancel, state <*>",,,,,,,,,
E251,IOPolledFilePollersOpen(<*>) <*> ms,,,,,,,,,
E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,,,,,,,,,
E253,jemmytest,,,,,,,,,c
E254,kern_open_file_for_direct_io took <*> ms,,,,,,,,,
E255,kern_open_file_for_direct_io(<*>),,,,,,,,,
E256,KeychainGetICDPStatus: keychain: <*>,,,,,,,,,
E257,KeychainGetICDPStatus: status: off,,,,,,,,,c
E258,Location icon should now be in state 'Active',,,,,,,,,
E259,Location icon should now be in state 'Inactive',,,,,,,,,
E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),,,,,,,,,
E261,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),,,,,,,,,
E262,mDNS_RegisterInterface: Frequent transitions for interface awdl0 (<*>),,,,,,,,,
E263,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),,,,,,,,,
E264,network changed: <*>(<*>!:<*>) DNS+ Proxy+ SMB,,,,,,,,,
E265,network changed: <*>(<*>) DNS- Proxy-,,,,,,,,,
E266,network changed: <*>(<*>:<*>) <*>(<*>) DNS Proxy SMB,,,,,,,,,
E267,network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB,,,,,,,,,
E268,network changed: DNS*,,,,,,,,,
E269,network changed: DNS* Proxy,,,,,,,,,
E270,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",,,,,,,,,
E271,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>.<*>",,,,,,,,,"dg,dv"
E272,"network_reachability_changed : network is not reachable, netbiosd is shutting down",,,,,,,,,c
E273,"no application identifier provided, can't use provisioning profiles [pid=<*>]",,,,,,,,,
E274,no sleep images for WillPowerOffWithImages,,,,,,,,,c
E275,"NSURLSession/NSURLConnection HTTP load failed (kCFStreamErrorDomainSSL, <*>)",,,,,,,,,
E276,nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,,,,,,,,,
E277,"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace: [<*>_<*>] libnetcore-<*>.<*>.<*> <*>   libsystem_network.dylib             <*> __nw_create_backtrace_string + <*> <*>   libsystem_network.dylib             <*> nw_path_evaluator_start_helper_connection + <*> <*>   libdispatch.dylib                   <*> _dispatch_call_block_and_release + <*> <*>   libdispatch.dylib                   <*> _dispatch_client_callout + <*> <*>   libdispatch.dylib                   <*> _dispatch_queue_drain + <*> <*>   libdispatch.dylib                   <*> _dispatch_queue_invoke + <*> <*>   libdispatch.dylib                   <*> _dispatch_root_queue_drain + <*> <*>   libdispatch.dylib                   <*> _dispatch_worker_<*> + <*> <*>   libsystem_pthread.dylib             <*> _pthread_wqthread + <*> <*>   libsystem_pthread.dylib             <*> start_wqthread + <*>",,,,,,,,,
E278,objc[<*>]: Class TSUAtomicLRUCache is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,,,,,,,,,"dg,dr"
E279,objc[<*>]: Class TSUCustomFormatData is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,,,,,,,,,"dg,dr"
E280,"Opened file <*>, size <*>, extents <*>, maxio <*> ssd <*>",,,,,,,,,
E281,"Page bounds {{<*>, <*>}, {<*>, <*>}}",,,,,,,,,
E282,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",,,,,,,,,
E283,"Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",,,,,,,,,
E284,payload Data <*> <*>,,,,,,,,,"dg,cv"
E285,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}",,,,,,,,,
E286,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}",,,,,,,,,
E287,Peripheral manager is not powered on,,,,,,,,,c
E288,"PM response took <*> ms (<*>, powerd)",,,,,,,,,
E289,"PM response took <*> ms (<*>, QQ)",,,,,,,,,
E290,"PM response took <*> ms (<*>, WeChat)",,,,,,,,,
E291,PMStats: Hibernate read took <*> ms,,,,,,,,,
E292,"polled file major <*>, minor <*>, blocksize <*>, pollers <*>",,,,,,,,,
E293,Previous sleep cause: <*>,,,,,,,,,
E294,Received Capture Event,,,,,,,,,c
E295,"RTC: Maintenance <*>/<*>/<*> <*>:<*>:<*>, sleep <*>/<*>/<*> <*>:<*>:<*>",,,,,,,,,
E296,RTC: PowerByCalendarDate setting ignored,,,,,,,,,c
E297,Sandbox: <*>(<*>) deny(<*>) file-read-data /private/etc/hosts,,,,,,,,,
E298,Sandbox: <*>(<*>) deny(<*>) ipc-posix-shm-read-data CFPBS:<*>:,,,,,,,,,
E299,Sandbox: <*>(<*>) deny(<*>) mach-lookup <*>,,,,,,,,,
E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder,,,,,,,,,"dg,dr"
E301,Saw change in network reachability (isReachable=<*>),,,,,,,,,
E302,"schedule invalidation <DYTransport <*>, error: lost transport connection (<*>)>",,,,,,,,,
E303,"SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",,,,,,,,,
E304,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",,,,,,,,,
E305,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,,,,,,,,,
E306,"Service ""com.apple.xpc.launchd.unmanaged.loginwindow.<*>"" tried to hijack endpoint ""com.apple.tsm.uiserver"" from owner: com.apple.SystemUIServer.agent",,,,,,,,,
E307,Service exited with abnormal code: <*>,,,,,,,,,
E308,Session <*> created,,,,,,,,,
E309,Session <*> destroyed,,,,,,,,,
E310,"Setting BTCoex Config: enable_<*>:<*>, profile_<*>:<*>, enable_<*>:<*>, profile_<*>:<*>",,,,,,,,,
E311,"setting hostname to ""<*>""",,,,,,,,,
E312,sigio_handler: sigio_handler_active != <*>,,,,,,,,,
E313,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",,,,,,,,,
E314,TBT W (<*>): <*> [x],,,,,,,,,
E315,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,,,,,,,,,
E316,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down,,,,,,,,,
E317,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is unreachable,,,,,,,,,
E318,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,,,,,,,,,
E319,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,,,,,,,,,
E320,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.<*> error <*>,,,,,,,,,
E321,Telling CSI to go low power.,,,,,,,,,c
E322,the url = <*>,,,,,,,,,
E323,Thermal pressure state: <*> Memory pressure state: <*>,,,,,,,,,
E324,"Unable to simultaneously satisfy constraints: ( ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=-&- V:[NSScrollView:<*>]-(<*>)-|   (Names: '|':NSView:<*> )>"", ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=-&- V:|-(<*>)-[NSScrollView:<*>]   (Names: '|':NSView:<*> )>"", ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=--& V:[NSView:<*>(<*>)]>"", ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=-&- V:|-(<*>)-[NSView:<*>]   (Names: '|':NSView:<*> )>"", ""<NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=-&- V:[NSView:<*>]-(<*>)-|   (Names: '|':NSView:<*> )>"" )  Will attempt to recover by breaking constraint <NSAutoresizingMaskLayoutConstraint:<*> h=-&- v=-&- V:|-(<*>)-[NSScrollView:<*>]   (Names: '|':NSView:<*> )>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.",,,,,,,,,
E325,"Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*>)]>"", ""<NSLayoutConstraint:<*> H:|-(<*>)-[NSImageView:<*>]   (Names: PageItemCell:<*>, '|':PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> 'NSView-Encapsulated-Layout-Width' H:[PageItemCell(<*>)]   (Names: PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>]-(<*>)-[NSTextField:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSTextField:<*>]-(<*>)-|   (Names: PageItemCell:<*>, '|':PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> H:[NSTextField:<*>]-(>=NSSpace(<*>))-[NSTextField:<*>]>"" )  Will attempt to recover by breaking constraint <NSLayoutConstraint:<*> H:[NSImageView:<*>(<*>)]>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.",,,,,,,,,
E326,Unable to start NetBIOS name service:,,,,,,,,,c
E327,"Unexpected payload found for message <*>, dataLen <*>",,,,,,,,,
E328,Unrecognized attribute value: t:AbchPersonItemType,,,,,,,,,c
E329,Unrecognized XSSimpleTypeDefinition: OneOff,,,,,,,,,c
E330,url host = <*>,,,,,,,,,
E331,USBMSC Identifier (non-unique): <*>,,,,,,,,,
E332,"VDCAssistant:  Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)",,,,,,,,,
E333,vm_compressor_fastwake_warmup (<*> - <*>) - starting,,,,,,,,,
E334,vm_compressor_fastwake_warmup completed - took <*> msecs,,,,,,,,,
E335,Wake reason: ?,,,,,,,,,c
E336,Wake reason: ARPT (Network),,,,,,,,,c
E337,Wake reason: EC.SleepTimer (SleepTimer),,,,,,,,,c
E338,Wake reason: RTC (Alarm),,,,,,,,,c
E339,wake time set <*> s,,,,,,,,,
E340,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,,,,,,,,,
E341,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,,,,,,,,,
